url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/188931,return-eligibility,Điều kiện yêu cầu trả hàng hoặc hoàn tiền trên Shopee,buyer,eligibility,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/188931,return-window,Thời hạn gửi yêu cầu trả hàng hoàn tiền,buyer,request-window,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79467,return-evidence,Bằng chứng cho yêu cầu trả hàng hoàn tiền,buyer,evidence,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79508,return-shipping-and-packaging,Đóng gói và gửi trả sản phẩm,buyer,return-shipping,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/189473,refund-methods-and-time,Phương thức và thời gian nhận tiền hoàn,buyer,refund-timing,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77251,seller-return-refund-obligations,Nghĩa vụ của người bán trong trả hàng hoàn tiền,seller,seller-obligations,vi,not-stated,public-source
