doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
return-eligibility,data/shopee-return-refund/return-eligibility.md,Điều kiện yêu cầu trả hàng hoặc hoàn tiền trên Shopee,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
return-window,data/shopee-return-refund/return-window.md,Thời hạn gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
return-evidence,data/shopee-return-refund/return-evidence.md,Bằng chứng cho yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79467,2026-09-20,not-stated,public-source
return-shipping-and-packaging,data/shopee-return-refund/return-shipping-and-packaging.md,Đóng gói và gửi trả sản phẩm,https://help.shopee.vn/portal/4/article/79508,2026-09-20,not-stated,public-source
refund-methods-and-time,data/shopee-return-refund/refund-methods-and-time.md,Phương thức và thời gian nhận tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
seller-return-refund-obligations,data/shopee-return-refund/seller-return-refund-obligations.md,Nghĩa vụ của người bán trong trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,public-source
